algo,k,n,cost,wall,cpu
rrnn,1,50,20,1.3389927919815094,0.011034,0.011034
rrnn,1,50,20,2.1803995009132597,0.012108,0.012109
rrnn,1,50,25,2.2614992197882993,0.021282,0.021283
rrnn,1,50,25,2.261514568381124,0.023075,0.023076
rrnn,1,50,25,2.0199335266629204,0.017934,0.017935
rrnn,1,50,25,1.9201956827025062,0.020643,0.020639
rrnn,1,50,25,1.8919019366029544,0.018714,0.018713
rrnn,1,50,25,2.246164870535491,0.02078,0.02078
rrnn,1,50,25,1.9166528420670548,0.019098,0.019097
rrnn,1,50,25,1.8520212331726422,0.01587,0.01587
rrnn,1,50,25,3.2479608682618806,0.01786,0.01786
rrnn,1,50,25,1.9509542082901272,0.020226,0.020226
rrnn,1,50,30,1.6358489975138362,0.030491,0.030491
rrnn,1,50,30,2.6568429198188133,0.028555,0.028555
rrnn,1,50,30,2.2100946749920194,0.029595,0.029596
rrnn,1,50,30,1.6366668445125812,0.027272,0.027266
rrnn,1,50,30,2.847118636099611,0.026694,0.026688
rrnn,1,50,30,2.332532977687442,0.0275,0.0275
rrnn,1,50,30,1.6316354588926796,0.031356,0.031355
rrnn,1,50,30,2.2877474722651776,0.024598,0.024598
rrnn,1,50,30,1.9573367309829788,0.02679,0.026791
rrnn,1,50,30,2.179892327484268,0.027922,0.027921
rrnn,1,100,5,5.0,0.002342,0.002341
rrnn,1,100,5,1.6618898722125257,0.002325,0.002325
rrnn,1,100,5,1.5346071521507416,0.002462,0.002461
rrnn,1,100,5,1.2754015017456721,0.002385,0.002385
rrnn,1,100,5,2.063214236978041,0.002403,0.002404
rrnn,1,100,5,1.1732601440847197,0.002315,0.002315
rrnn,1,100,5,1.780054743571514,0.002464,0.002464
rrnn,1,100,5,2.525504675545751,0.002423,0.002423
rrnn,1,100,5,1.839417464145442,0.002472,0.002473
rrnn,1,100,5,2.5317732913983138,0.00232,0.00232
rrnn,1,100,5,2.2448169173481496,0.002479,0.002479
rrnn,1,100,10,2.6024885801786164,0.007279,0.007278
rrnn,1,100,10,1.7054665240800408,0.007257,0.007256
rrnn,1,100,10,0.8982409106571694,0.006461,0.006462
rrnn,1,100,10,1.8617680847271894,0.006329,0.00633
rrnn,1,100,10,2.0750008600412837,0.008102,0.008102
rrnn,1,100,10,1.0516241686244174,0.0074,0.0074
rrnn,1,100,10,1.9015919681483182,0.006799,0.006799
rrnn,1,100,10,2.5475022239206417,0.007351,0.007351
rrnn,1,100,10,2.2103962543041997,0.007134,0.007133
rrnn,1,100,10,1.9913309317709875,0.007045,0.007044
rrnn,1,100,15,1.5011559629590718,0.013946,0.013946
rrnn,1,100,15,2.7294686804179156,0.013882,0.013883
rrnn,1,100,15,1.5349680396509047,0.013791,0.01379
rrnn,1,100,15,1.031025156438768,0.014197,0.014196
rrnn,1,100,15,1.9985334982339475,0.014379,0.01438
rrnn,1,100,15,2.238085097087336,0.015863,0.015864
rrnn,1,100,15,1.4523489593554075,0.015244,0.015245
rrnn,1,100,15,1.9612937566573776,0.013485,0.013486
rrnn,1,100,15,1.8380470438704415,0.012938,0.012938
rrnn,1,100,15,1.7660955949415027,0.013654,0.013655
rrnn,1,100,20,2.1463311891354477,0.025798,0.025799
rrnn,1,100,20,1.9451981987074234,0.02238,0.022381
rrnn,1,100,20,1.9713997608535228,0.022631,0.022631
rrnn,1,100,20,1.7425459595801298,0.025169,0.025169
rrnn,1,100,20,1.9407830498332226,0.024463,0.02446
rrnn,1,100,20,1.9561141784468956,0.024174,0.024175
rrnn,1,100,20,2.109137769133671,0.020999,0.021
rrnn,1,100,20,2.0294141169830837,0.025309,0.02531
rrnn,1,100,20,1.3389927919815094,0.022188,0.022188
rrnn,1,100,20,2.1803995009132597,0.025445,0.025444
rrnn,1,100,25,2.2614992197882993,0.041178,0.041178
rrnn,1,100,25,2.261514568381124,0.044857,0.044857
rrnn,1,100,25,2.0199335266629204,0.036891,0.036891
rrnn,1,100,25,1.9201956827025062,0.041109,0.041081
rrnn,1,100,25,1.8919019366029544,0.038994,0.038995
rrnn,1,100,25,2.246164870535491,0.041049,0.041049
rrnn,1,100,25,1.885951315148204,0.038446,0.038447
rrnn,1,100,25,1.852021233172642,0.031947,0.031948
rrnn,1,100,25,3.2222890934405455,0.036781,0.036766
rrnn,1,100,25,1.9509542082901272,0.040824,0.04075
rrnn,1,100,30,1.6358489975138362,0.078936,0.074989
rrnn,1,100,30,2.6568429198188133,0.057632,0.057418
rrnn,1,100,30,2.2100946749920194,0.05836,0.058259
rrnn,1,100,30,1.6366668445125812,0.05762,0.057524
rrnn,1,100,30,2.847118636099611,0.057097,0.056296
rrnn,1,100,30,2.332532977687442,0.057845,0.057696
rrnn,1,100,30,1.6316354588926796,0.059353,0.059321
rrnn,1,100,30,2.2877474722651776,0.050528,0.050511
rrnn,1,100,30,1.9573367309829788,0.056014,0.055979
rrnn,1,100,30,2.179892327484268,0.055352,0.055308
