algo,k,n,cost,wall,cpu
nn,5,5.0,1.6e-05,1.5e-05
nn2opt,5,5.0,1.4e-05,1.4e-05
rrnn,5,5.0,0.000711,0.000711
nn,5,1.6618898722125257,7e-06,6e-06
nn2opt,5,1.6618898722125257,8e-06,8e-06
rrnn,5,1.6618898722125257,0.000664,0.000664
nn,5,1.5346071521507416,6e-06,6e-06
nn2opt,5,1.5346071521507416,7e-06,7e-06
rrnn,5,1.5346071521507416,0.000736,0.000736
nn,5,1.2754015017456721,7e-06,7e-06
nn2opt,5,1.2754015017456721,8e-06,9e-06
rrnn,5,1.2754015017456721,0.000729,0.000728
nn,5,2.3416108366445516,7e-06,7e-06
nn2opt,5,2.0632142369780415,1.2e-05,1.2e-05
rrnn,5,2.063214236978041,0.000711,0.000711
nn,5,1.1732601440847197,6e-06,7e-06
nn2opt,5,1.1732601440847197,8e-06,9e-06
rrnn,5,1.1732601440847197,0.000708,0.000708
nn,5,2.2929630275735327,6e-06,6e-06
nn2opt,5,1.780054743571514,8e-06,1e-05
rrnn,5,1.780054743571514,0.000729,0.000729
nn,5,2.5514523900849255,7e-06,7e-06
nn2opt,5,2.5514523900849255,7e-06,8e-06
rrnn,5,2.525504675545751,0.000728,0.000729
nn,5,1.839417464145442,6e-06,5e-06
nn2opt,5,1.839417464145442,7e-06,7e-06
rrnn,5,1.839417464145442,0.000949,0.000902
nn,5,2.5317732913983138,1e-05,1e-05
nn2opt,5,2.5317732913983138,9e-06,1e-05
rrnn,5,2.5317732913983138,0.000687,0.000687
nn,5,2.368143097732634,6e-06,7e-06
nn2opt,5,2.24481691734815,9e-06,9e-06
rrnn,5,2.2448169173481496,0.000746,0.000745
nn,10,3.31928314053049,1.4e-05,1.4e-05
nn2opt,10,2.6024885801786164,3.6e-05,3.7e-05
rrnn,10,2.6024885801786164,0.002183,0.002184
nn,10,2.7774001975812084,1.4e-05,1.3e-05
nn2opt,10,1.705466524080041,4.1e-05,4.1e-05
rrnn,10,1.7054665240800408,0.002227,0.002225
nn,10,0.8982409106571694,1.6e-05,1.5e-05
nn2opt,10,0.8982409106571694,2.4e-05,2.4e-05
rrnn,10,0.8982409106571694,0.001843,0.001842
nn,10,2.401116883466372,1.3e-05,1.2e-05
nn2opt,10,1.8617680847271898,4.7e-05,4.7e-05
rrnn,10,1.8617680847271894,0.001854,0.001854
nn,10,3.1021178973776076,1.3e-05,1.4e-05
nn2opt,10,2.0750008600412837,5.2e-05,5.1e-05
rrnn,10,2.0750008600412837,0.002487,0.002468
nn,10,1.0516241686244174,1.5e-05,1.5e-05
nn2opt,10,1.0516241686244174,2.1e-05,2.1e-05
rrnn,10,1.0516241686244174,0.00234,0.00234
nn,10,2.093012169776691,1.4e-05,1.3e-05
nn2opt,10,1.9015919681483187,3.2e-05,3.1e-05
rrnn,10,1.9015919681483182,0.00213,0.002128
nn,10,2.934675260853873,1.2e-05,1.2e-05
nn2opt,10,2.5901943608269633,2.9e-05,2.8e-05
rrnn,10,2.5475022239206417,0.002274,0.002239
nn,10,2.892216781251866,1.4e-05,1.5e-05
nn2opt,10,2.2103962543041997,4.2e-05,4.1e-05
rrnn,10,2.2103962543041997,0.002164,0.002164
nn,10,3.0491432870129738,1.3e-05,1.3e-05
nn2opt,10,1.9913309317709875,5.1e-05,5.2e-05
rrnn,10,1.9913309317709875,0.002114,0.002115
nn,15,1.8825260511844135,2.1e-05,2e-05
nn2opt,15,1.5011559629590718,9.3e-05,9.2e-05
rrnn,15,1.5011559629590723,0.004212,0.004209
nn,15,3.945061770965415,2.1e-05,2.1e-05
nn2opt,15,3.0446048965608004,6.4e-05,6.6e-05
rrnn,15,2.7294686804179156,0.004344,0.004344
nn,15,2.4830009417602215,2e-05,2e-05
nn2opt,15,1.5424474212970103,0.000137,0.000136
rrnn,15,1.5349680396509047,0.004081,0.004076
nn,15,2.4647016296557283,2e-05,2e-05
nn2opt,15,1.5756203131761084,6.7e-05,6.7e-05
rrnn,15,1.031025156438768,0.004308,0.004308
nn,15,2.8598168142449083,2e-05,1.9e-05
nn2opt,15,2.033514302697074,8.8e-05,8.8e-05
rrnn,15,1.9985334982339475,0.004461,0.004458
nn,15,2.870611290848457,2.3e-05,2.3e-05
nn2opt,15,2.2442954034020803,9.3e-05,9.4e-05
rrnn,15,2.238085097087336,0.005189,0.005161
nn,15,2.8767907968788773,1.9e-05,1.8e-05
nn2opt,15,1.723695232095515,5.6e-05,5.5e-05
rrnn,15,1.4523489593554075,0.004656,0.004656
