n,wall_ratio_nn,wall_ratio_nn2,wall_ratio_rr,cpu_ratio_nn,cpu_ratio_nn2,cpu_ratio_rr,cost_ratio_nn,cost_ratio_nn2,cost_ratio_rr,nodes_a_median
5,0.006749034093475655,0.006976939193918427,0.3307487113029643,0.006966826316671518,0.007408924476085722,0.33355148280521413,1.0,1.0,1.0,34.0
10,0.00021972338671948435,0.0005076546035908636,0.020228696906601427,0.00021884554642291132,0.0004979489710959328,0.020460360826431816,1.28256184162704,1.0,1.0,1421.0
15,1.9107281440553105e-05,7.873495061521934e-05,0.0028104427618845084,1.9249483633790525e-05,7.812166517716895e-05,0.0028157443923844975,1.4381582646555524,1.0291787744580436,1.0000000000000004,22629.5
20,2.2771366251832466e-06,7.51350043212924e-06,0.0004628886576433941,2.288785914884721e-06,7.570243279843301e-06,0.00046117451943876193,1.50984456551961,1.1829182723491545,1.0113841186720864,269129.0
25,8.546941913787876e-07,3.784049099677362e-06,0.00025193501666705376,8.56339354545605e-07,3.794394118860595e-06,0.0002505359062680428,1.404800440940018,1.1873149371276988,1.1201804839710194,745396.5
